DATASET_SHORT,KEYWORD,probability,DATASET_LONG,DATASET_NODE_ID,KEYWORD_NODE_ID
SNDRAQIML3CMCCP,surface winds,1.0,Sounder SIPS: AQUA AIRS IR + MW Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Monthly V2 (SNDRAQIML3CMCCP) at GES DISC,772,1749
TOVSA5ND,precipitation rate,1.0,TOVS GLA 5 DAY GRIDS from NOAA-12 V01 (TOVSA5ND) at GES DISC,1485,1714
TOVSA5ND,surface pressure,1.0,TOVS GLA 5 DAY GRIDS from NOAA-12 V01 (TOVSA5ND) at GES DISC,1485,1668
MAT1NXSLV_CPR,skin temperature,1.0,"MERRA 2D IAU Diagnostic, Single Level Meteorology, Time Average 1-hourly 0.6 x 0.25 degree subsetted along CloudSat track V5.2.0 (MAT1NXSLV_CPR) at GES DISC",1462,1628
PET_PU_3H025,upper air temperature,1.0,RM-OBS/PU Potential Evapotranspiration and Supporting Forcing L4 3-hourly 0.25x0.25 degree V001 (PET_PU_3H025) at GES DISC,817,1670
TOVSBMNG,total precipitable water,1.0,TOVS LMD MONTHLY GRIDS from NOAA-10 V01 (TOVSBMNG) at GES DISC,1533,1685
TOVSBMNG,air temperature,1.0,TOVS LMD MONTHLY GRIDS from NOAA-10 V01 (TOVSBMNG) at GES DISC,1533,1680
GSSTF_F08,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1668
SNDRAQIL3SMCCP,surface winds,1.0,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1749
M2T1NXOCN,surface winds,1.0,"MERRA-2 tavg1_2d_ocn_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Ocean Surface Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXOCN) at GES DISC",1518,1749
ML3DBO3,aerosols,1.0,MLS/Aura Level 3 Daily Binned Ozone (O3) Mixing Ratio on Assorted Grids V005 (ML3DBO3) at GES DISC,1421,1607
SNDRJ1ML2RMS,atmospheric winds,1.0,"Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Standard: Atmosphere, precipitation and surface geophysical state V3 (SNDRJ1ML2RMS) at GES DISC",1410,1746
SNDRJ1ML2RMS,cloud properties,1.0,"Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Standard: Atmosphere, precipitation and surface geophysical state V3 (SNDRJ1ML2RMS) at GES DISC",1410,1686
