Collection,Title,Version,DOI,Dataset Progress,Level,Granularity,Granule Size,Format,Creation Date,Data Start Date,Data End Date,Mission/Project,Metadata Author,L2,L34RS,GeoTiff,Giovanni,AIRS L1L2,WCS,WMS,THREDDS,OPeNDAP,GDS,Worldview
ACOSMonthlyGriddedXCO2,Monthly Gridded Level 4 bias-corrected XCO2 and other select fields aggregated from ACOS as Level 4 monthly files,3,10.5067/6NHKPP06K0ZF,COMPLETE,4,1 day,1.3 MB per file,netCDF,2022-02-11T00:00:00.000Z,2014-09-07T16:26:38.164Z,2020-06-28T22:25:08.716Z,MEaSUREs,THOMAS HEARTY,,,,,,,,,OPENDAP,,
ACOS_L2S,ACOS GOSAT/TANSO-FTS Level 2 Full Physics Standard Product V7.3,7.3,,COMPLETE,2,sun-lit orbit (45 minutes),3 MB per file,HDF5,2016-04-18T00:00:00.000Z,2009-04-20T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
ACOS_L2S,ACOS GOSAT/TANSO-FTS Level 2 Full Physics Standard Product V9r,9r,10.5067/OSGTIL9OV0PN,COMPLETE,2,sun-lit orbit (45 minutes),3 MB per file,HDF5,2019-10-04T00:00:00.000Z,2009-04-20T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
ACOS_L2_Lite_FP,ACOS GOSAT/TANSO-FTS Level 2 bias-corrected XCO2 and other select fields from the full-physics retrieval aggregated as daily files V7.3,7.3,,ACTIVE,2,1 day,50 MB per file,netCDF,2016-10-28T00:00:00.000Z,2009-04-21T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,L2,,,,,,,,OPENDAP,,
ACOS_L2_Lite_FP,ACOS GOSAT/TANSO-FTS Level 2 bias-corrected XCO2 and other select fields from the full-physics retrieval aggregated as daily files V9r,9r,10.5067/VWSABTO7ZII4,ACTIVE,2,1 day,50 MB per file,netCDF,2019-12-30T00:00:00.000Z,2009-04-20T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,L2,,,,,,,,OPENDAP,,
ACOS_L2_Lite_SIF,ACOS GOSAT/TANSO-FTS Level 2 bias-corrected solar-induced fluorescence and other select fields from the IMAP-DOAS algorithm aggregated as daily files V9r,9r,10.5067/4LMYCW8LKPPI,ACTIVE,2,1 day,50 MB per file,netCDF,2019-12-30T00:00:00.000Z,2009-04-22T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,,,,,,,,,,,
AIRABRAD,AIRS/Aqua L1B AMSU (A1/A2) geolocated and calibrated brightness temperatures V005,005,10.5067/LFUQ1L3IYVQD,ACTIVE,1B,6 minutes,0.4 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2002-05-21T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRABRAD_NRT,AIRS/Aqua L1B Near Real Time (NRT) AMSU (A1/A2) geolocated and calibrated brightness temperatures V005,005,,ACTIVE,1B,6 minutes,0.4 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2015-12-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRG2SSD,AIRS/Aqua L2G Precipitation Estimate V006,006,10.5067/Aqua/AIRS/DATA210,ACTIVE,2G,6 minutes,0.4 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2016-09-25T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRG2SSD_IRonly,AIRS/Aqua L2G Precipitation Estimate (AIRS-only) V006,006,10.5067/IVM9SK5USQOS,ACTIVE,2G,6 minutes,0.4 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
